till höger	Kapitel_4	Sidan 42
Var finns …	Kapitel_4	Sidan 42
Ursäkta har ni …	Kapitel_4	Sidan 42
förlåt mig excuse me	Kapitel_4	Sidan 42
slut run out	Kapitel_4	Sidan 42
titta på	Kapitel_4	Sidan 42
Vad ska vi äta	Kapitel_4	Sidan 44
Vad gott	Kapitel_4	Sidan 44
pytt i panna	Kapitel_4	Sidan 44
Vad ska du äta till middag	Kapitel_4	Sidan 45
riven ost	Kapitel_4	Sidan 45
Ska vi gå på …	Kapitel_5	Sidan 46
Vilken dag	Kapitel_5	Sidan 46
Vad synd	Kapitel_5	Sidan 46
Vad ska ni se	Kapitel_5	Sidan 46
Var går den	Kapitel_5	Sidan 46
Den börjar klockan …	Kapitel_5	Sidan 46
ta ett glas …	Kapitel_5	Sidan 46
Vilka spelar	Kapitel_5	Sidan 46
Hur så	Kapitel_5	Sidan 46
inte precis	Kapitel_5	Sidan 46
i stället	Kapitel_5	Sidan 46
varför inte	Kapitel_5	Sidan 47
hög ton	Kapitel_5	Sidan 47
Jag tycker om att…	Kapitel_5	Sidan 47
Har du/ni lust att	Kapitel_5	Sidan 48
vad kul/roligt/skoj	Kapitel_5	Sidan 48
Kan vi inte … i stället	Kapitel_5	Sidan 48
presens futurum	Kapitel_5	Sidan 48
Vad ska ni/du göra på …	Kapitel_5	Sidan 48
Vad gör du på fritiden	Kapitel_5	Sidan 49
klassisk musik	Kapitel_5	Sidan 49
på landet	Kapitel_5	Sidan 49
på vintern	Kapitel_5	Sidan 49
vi tror att we believe that	Kapitel_5	Sidan 50
Tror ni	Kapitel_5	Sidan 50
Jag gillar att	Kapitel_5	Sidan 51
Vilken … ska vi se	Kapitel_5	Sidan 52
i så fall	Kapitel_5	Sidan 52
tänk själv	Kapitel_5	Sidan 53
skriv ner	Kapitel_5	Sidan 53
Jag älskar dig	Kapitel_5	Sidan 54
Var den bra	Kapitel_5	Sidan 54
Hör du	Kapitel_5	Sidan 55
gå ut och äta	Kapitel_5	Sidan 55
Är det sant	Kapitel_6	Sidan 56
i höstas last fall	Kapitel_6	Sidan 56
nästa gång	Kapitel_6	Sidan 57
relativt pronomen	Kapitel_6	Sidan 59
Vad heter din …	Kapitel_6	Sidan 60
Din då	Kapitel_6	Sidan 60
possesiva pronomen	Kapitel_6	Sidan 60
Stämmer det	Kapitel_6	Sidan 61
flera gånger	Kapitel_6	Sidan 61
Carl XIV Gustav	Kapitel_6	Sidan 62
samma dag	Kapitel_6	Sidan 62
växa upp	Kapitel_6	Sidan 62
tjäna pengar	Kapitel_6	Sidan 62
alltså so	Kapitel_6	Sidan 63
Kan du säga det igen	Kapitel_6	Sidan 64
Lite långsammare	Kapitel_6	Sidan 64
En gång till	Kapitel_6	Sidan 64
är känd för	Kapitel_6	Sidan 65
som vuxen	Kapitel_6	Sidan 65
sent i livet	Kapitel_6	Sidan 65
i slutet av	Kaptiel_7	Sidan 66
fota (fotografera)	Kaptiel_7	Sidan 66
second hand-affär	Kaptiel_7	Sidan 67
i våras	Kaptiel_7	Sidan 67
per person	Kaptiel_7	Sidan 67
indefinit pronomen	Kaptiel_7	Sidan 67
ute på stan	Kaptiel_7	Sidan 70
Eller hur?	Kaptiel_7	Sidan 70
Bra, va?	Kaptiel_7	Sidan 71
på rätt plats	Kaptiel_7	Sidan 72
flytta ihop	Kaptiel_7	Sidan 72
Vad kan jag hjälpa er med?	Kaptiel_7	Sidan 72
Det går bra	Kaptiel_7	Sidan 72
Det låter bra.	Kaptiel_7	Sidan 73
just nu	Kaptiel_7	Sidan 73
extra kostnad	Kaptiel_7	Sidan 73
halva priset	Kaptiel_7	Sidan 73
öppet köp	Kaptiel_7	Sidan 74
Hur mycket får de kosta?	Kaptiel_7	Sidan 74
Passar de bra?	Kaptiel_7	Sidan 74
Hur mycket kostar den?	Kaptiel_7	Sidan 74
en storlek mindre	Kaptiel_7	Sidan 74
en storlek större	Kaptiel_7	Sidan 74
Vilken storlek har du?	Kaptiel_7	Sidan 74
Vill du ha hjälp?	Kaptiel_7	Sidan 74
Kan jag hjälpa till?	Kaptiel_7	Sidan 74
ett ögonblick	Kaptiel_7	Sidan 74
för stora	Kaptiel_7	Sidan 74
för små	Kaptiel_7	Sidan 74
då ska vi se	Kaptiel_7	Sidan 74
Jag tittar bara.	Kaptiel_7	Sidan 74
Säg till om du behöver hjälp.	Kaptiel_7	Sidan 74
Kan du hjälpa mig?	Kaptiel_7	Sidan 75
spela roll	Kaptiel_7	Sidan 75
Sitter de bra?	Kaptiel_7	Sidan 75
Hur kan jag hjälpa dig?	Kaptiel_7	Sidan 77
Ursäkta/ Förlåt, har du tid?	Kaptiel_7	Sidan 77
Jag tänkte köpa…	Kaptiel_7	Sidan 77
Har ni …?	Kaptiel_7	Sidan 77
Vill du prova?	Kaptiel_7	Sidan 77
Hur var den/det/de?	Kaptiel_7	Sidan 77
Har ni några större/mindre?	Kaptiel_7	Sidan 77
Tack för hjälpen.	Kaptiel_7	Sidan 77
prata engelska	Kaptiel_7	Sidan 78
Jag läser svenska.	Kaptiel_7	Sidan 78
Jag lär mig svenska.	Kaptiel_7	Sidan 78
Har du tid?	Kaptiel_7	Sidan 78
Hur gick det?	Kaptiel_7	Sidan 78
ett par gånger	Kaptiel_7	Sidan 78
Jag ska kolla.	Kaptiel_7	Sidan 78
Tack, då vet jag.	Kaptiel_7	Sidan 78
förra året	Kaptiel_7	Sidan 79
vilda djur	Kapitel_8	Sidan 80
första gången	Kapitel_8	Sidan 80
varm tröja	Kapitel_8	Sidan 80
repellent hemma hos	Kapitel_8	Sidan 80
mitt i stan	Kapitel_8	Sidan 80
att göra-lista	Kapitel_8	Sidan 80
gå på museum	Kapitel_8	Sidan 80
promenera i …	Kapitel_8	Sidan 80
gå ut	Kapitel_8	Sidan 80
Moderna museet	Kapitel_8	Sidan 80
tänk dig att	Kapitel_8	Sidan 81
presens perfekt	Kapitel_8	Sidan 81
första i tolfte	Kapitel_8	Sidan 82
Vad är det för datum idag?	Kapitel_8	Sidan 82
någon gång	Kapitel_8	Sidan 83
Det var 2009	Kapitel_8	Sidan 83
för … år sedan	Kapitel_8	Sidan 83
i present	Kapitel_8	Sidan 83
i två år nu	Kapitel_8	Sidan 83
åka snowboard	Kapitel_8	Sidan 84
åka skridskor	Kapitel_8	Sidan 84
baka kanelbullar	Kapitel_8	Sidan 84
Vi ses snart!	Kapitel_8	Sidan 85
Det är varmt.	Kapitel_8	Sidan 86
Det blåser.	Kapitel_8	Sidan 86
Det är kallt.	Kapitel_8	Sidan 86
Det regnar.	Kapitel_8	Sidan 86
Det åskar.	Kapitel_8	Sidan 86
Det snöar.	Kapitel_8	Sidan 86
Solen skiner.	Kapitel_8	Sidan 86
Det är dimma.	Kapitel_8	Sidan 86
Det är molnigt.	Kapitel_8	Sidan 86
Det är mulet.	Kapitel_8	Sidan 86
Vad är det för väder idag?	Kapitel_8	Sidan 86
sluta röka	Kapitel_8	Sidan 87
Får man röka här inne?	Kapitel_8	Sidan 87
gå ut och röka	Kapitel_8	Sidan 87
lägga på	Kapitel_8	Sidan 87
gå på klubb	Kapitel_8	Sidan 90
Ska vi bo på vandrarhem/hotell?	Kapitel_8	Sidan 90
i en timme	Kapitel_8	Sidan 91
första till vänster	Kapitel_9	Sidan 92
andra till höger	Kapitel_9	Sidan 92
Hur lång tid tar det?	Kapitel_9	Sidan 92
nästa station	Kapitel_9	Sidan 93
det beror på	Kapitel_9	Sidan 93
fast pris	Kapitel_9	Sidan 93
gå i tvåan	Kapitel_9	Sidan 94
en sexa whiskey	Kapitel_9	Sidan 94
Vilken tur!	Kapitel_9	Sidan 94
centiliter alkohol	Kapitel_9	Sidan 94
Kommer du ihåg?	Kapitel_9	Sidan 95
ta flyget	Kapitel_9	Sidan 96
varje dag	Kapitel_9	Sidan 96
komma in till/på	Kapitel_9	Sidan 97
byte till	Kapitel_9	Sidan 97
sista utrop	Kapitel_9	Sidan 97
Hur kommer vi till …?	Kapitel_9	Sidan 97
två dagar sen	Kapitel_9	Sidan 97
så långt	Kapitel_9	Sidan 97
Går bussen ofta?	Kapitel_9	Sidan 97
var tionde	Kapitel_9	Sidan 97
fem över	Kapitel_9	Sidan 97
och så vidare	Kapitel_9	Sidan 97
olika platser	Kapitel_9	Sidan 98
För en … sedan	Kapitel_9	Sidan 98
på kartan	Kapitel_9	Sidan 100
Där ligger…	Kapitel_9	Sidan 100
artificiell ö	Kapitel_9	Sidan 101
på ön	Kapitel_9	Sidan 101
inte bara en…	Kapitel_9	Sidan 101
känd person	Kapitel_9	Sidan 101
Lite om …	Kapitel_9	Sidan 101
ligger i	Kapitel_9	Sidan 101
fakta om	Kaptiel_10	Sidan 104
Gotland Gotland,	Kaptiel_10	Sidan 104
Öland Öland,	Kaptiel_10	Sidan 104
meänkieli meänkieli,	Kaptiel_10	Sidan 105
forna Jugoslavien	Kaptiel_10	Sidan 105
de flesta	Kaptiel_10	Sidan 106
det mesta	Kaptiel_10	Sidan 108
mitt på dagen	Kaptiel_10	Sidan 108
kaffe latte	Kaptiel_10	Sidan 108
konstitutionell monarki	Kaptiel_10	Sidan 110
Kebnekaise Kebnekaise,	Kaptiel_10	Sidan 110
romani chib	Kaptiel_10	Sidan 110
svensk krona	Kaptiel_10	Sidan 110
det bästa	Kapitel_11	Sidan 112
ett bra sätt	Kapitel_11	Sidan 112
åka på semester	Kapitel_11	Sidan 113
gå ut med hunden	Kapitel_11	Sidan 113
vara trött	Kapitel_11	Sidan 113
bjuda hem	Kapitel_11	Sidan 113
tjejkompis (-en, -ar, -arna)	Kapitel_11	Sidan 113
ett par personer	Kapitel_11	Sidan 113
i 70-årsåldern	Kapitel_11	Sidan 113
hänga (hänger, hängde, hängt)	Kapitel_11	Sidan 114
inget för mig	Kapitel_11	Sidan 114
inte heller	Kapitel_11	Sidan 115
i skogen	Kapitel_11	Sidan 115
Inte jag heller	Kapitel_11	Sidan 116
Jag håller med.	Kapitel_11	Sidan 116
kursiv stil	Kapitel_11	Sidan 118
fet stil	Kapitel_11	Sidan 118
Hur då?	Kapitel_11	Sidan 120
Klockan är mycket!	Kapitel_11	Sidan 120
bra idé	Kapitel_11	Sidan 112
stekt potatis	Kapitel_12	Sidan 123
bakad potatis	Kapitel_12	Sidan 123
odlad lax	Kapitel_12	Sidan 123
förr i tiden	Kapitel_12	Sidan 123
som de är	Kapitel_12	Sidan 123
mörk choklad	Kapitel_12	Sidan 125
biff med lök	Kapitel_12	Sidan 126
Kan vi få notan?	Kapitel_12	Sidan 130
jobba hemifrån	Kaptiel_13	Sidan 132
vara liten	Kaptiel_13	Sidan 133
Det stämmer	Kaptiel_13	Sidan 133
ringa på dörren	Kaptiel_13	Sidan 135
ligga på topp	Kaptiel_13	Sidan 135
i förrgår	Kaptiel_13	Sidan 137
personlig tränare	Kaptiel_13	Sidan 139
gröna fingrar	Kaptiel_13	Sidan 139
stå i baren	Kaptiel_13	Sidan 140
vänliga hälsningar	Kaptiel_13	Sidan 141
