språk	(-et, –, -en)	language	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
lite some		a little	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
spanska		Spanish	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
så klart		of course	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
Vad heter du		What is your name?	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
vad		what	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
vara	(är, var, varit)	to be	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
Och du		And you?	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
var		where	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
ligga	(ligger, låg, legat)	lie, be situated	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
det		it	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
i		in	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
norra		Northern	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
Italien		Italy	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
prata	(-r, -de, -t)	talk	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
pyttelite		a tiny bit	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
italienska		Italian	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
Vad kul		Great!/How fun!	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
lyssna	(-r, -de, -t)	listen	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
dialog	(-en, -er, -erna)	dialogue	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
vilken	(vilket, vilka)	which	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
ha	(har, hade, haft)	have	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
betoning	(-en, -ar, -arna)	emphasis	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
ringa in		circle	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
igen		again	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
markera	(-r, -de, -t)	mark	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
uttala	(-ar, -de, -t)	pronounce	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
inte		not	Sidan 09	Kapitel 1	Kapitel1 RivstartA1A2
titta	(-r, -de, -t)	look	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
ruta	(-n, -or, -orna)	box	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
här		here	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
nedanför		below	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
se	(ser, såg, sett)	see	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
ett		a/an	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
system	(-et, –, -en)	system	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
för		for	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
verb	(-et, –, en)	verb/verbs	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
position	(-en, -er, -erna)	position	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
läsa	(-er, -te, -t)	read	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
sätta ett kryss make an x		tick	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
sätta	(-er, satte, satt)	put, place	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
alla		all/everyone	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
fråga	(-r, -de, -t)	ask	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
svara	(-r, -de, -t)	answer	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
frågeord	( -et, –, -en)	question words	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
mingla	(-r, -de, -t)	mingle	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
grupp	(-en, -er, -erna)	group	Sidan 10	Kapitel 1	Kapitel1 RivstartA1A2
