riva (verb)	riva	verb	att	<ul><li>scratch (particularly with claws, nails etc.; of animals, also &quot;kill&quot;)</li><li>tear, grate, tear up and divide up,tear up and  share out,</li><li>pull (tear) down, demolish</li></ul>	riva sig i huvudet		Kapitel_4 Rivstart_A1_A2
börja (verb)	börja	verb	att	<ul><li>begin, start, commence</li></ul>	jag började om igen	I started again from the beginning	Kapitel_3 Rivstart_A1_A2
dag (noun)	dag	noun	en	<ul><li>day, the light part of the 24-hour earthly rotation; daylight</li><li>day, date, weekday; 24-hour period</li><li>day, time, period</li></ul>	natt och dag	night and day	Kapitel_2 Rivstart_A1_A2
människa (noun)	människa	noun	en	<ul><li>human being, person</li><li>person (in amounts)</li></ul>	äldre människor	elderly people	Kaptiel_13 Rivstart_A1_A2
land (noun)	land	noun	ett	<ul><li>land</li><li>country</li><li>plot, [garden] patch</li></ul>	land i sikte!	land ahoy!	Kapitel_1 Rivstart_A1_A2
svensk (adjective)	svensk	adjective		<ul><li>swedish</li></ul>			Kapitel_1 Rivstart_A1_A2
svensk (noun)	svensk	noun	en	<ul><li>swedish, swede</li></ul>			Kapitel_1 Rivstart_A1_A2
fråga (noun)	fråga	noun	en	<ul><li>question</li><li>question, matter</li></ul>	svara på min fråga!	answer my question!	Kapitel_1 Rivstart_A1_A2
fråga (verb)	fråga	verb	att	<ul><li>ask</li></ul>	han frågade var jag bodde	he asked where I lived	Kapitel_1 Rivstart_A1_A2
oss (prounoun)	oss	prounoun		<ul><li>us</li><li>we</li></ul>			Kapitel_6 Rivstart_A1_A2
tro (verb)	tro	verb	att	<ul><li>believe</li><li>believe (figuratively, &quot;have strong faith (in)&quot;)</li></ul>	vi trodde att det skulle gå bra	we believed it would go well	Kapitel_2 Rivstart_A1_A2
tro (noun)	tro	noun	en	<ul><li>belief</li><li>faith</li></ul>	kan man sätta tro till sådana rykten?	can one trust such rumours?	Kapitel_2 Rivstart_A1_A2
tycka (verb)	tycka	verb	att	<ul><li>think</li><li>imagine</li></ul>	tycka synd om någon	feel sorry for somebody	Kapitel_5 Rivstart_A1_A2
behöva (verb)	behöva	verb	att	<ul><li>want, need, require</li><li>have to, need to, be forced to</li></ul>	han behövde hjälp	he was in need of assistance	Kapitel_4 Rivstart_A1_A2
samma (prounoun)	samma	prounoun		<ul><li>same, similar</li></ul>	på samma gång	at the same time	Kapitel_1 Rivstart_A1_A2
mellan (preposition)	mellan	preposition		<ul><li>between (indicates a position limited in place and time)</li><li>between (indicates mutual relationship or exchange)</li></ul>	mellan Göteborg och Malmö	between Gothenberg and Malmö	Kapitel_3 Rivstart_A1_A2
läsa (verb)	läsa	verb	att	<ul><li>read (also used of reading a text aloud)</li><li>study</li></ul>	lära sig läsa	learn to read	Kapitel_1 Rivstart_A1_A2
kanske (adverb)	kanske	adverb		<ul><li>perhaps, maybe</li></ul>	det spelar kanske ingen roll	maybe it doesn&#39;t matter	Kapitel_2 Rivstart_A1_A2
låta (verb)	låta	verb	att	<ul><li>sound</li><li>allow, let</li><li>have (get) sth. [done]</li></ul>	bilen låter som en traktor	the car sounds more like a tractor	Kapitel_5 Rivstart_A1_A2
olik (adjective)	olik	adjective		<ul><li>different (weaker &quot;varying, diverse&quot;)</li></ul>			Kapitel_6 Rivstart_A1_A2
din (prounoun)	din	prounoun		<ul><li>your, belonging to you</li></ul>	är det här din bok?	is this your book?	Kapitel_3 Rivstart_A1_A2
gång (noun)	gång	noun	en	<ul><li>walk, path</li><li>occasion, time</li><li>run, working, walk, gait</li></ul>	gång på gång	again and again	Kapitel_5 Rivstart_A1_A2
visa (verb)	visa	verb	att	<ul><li>show</li></ul>	han visade mig boken	he showed me the book	Kapitel_2 Rivstart_A1_A2
visa (noun)	visa	noun	en	<ul><li>air, song, tune, melody</li></ul>			Kapitel_2 Rivstart_A1_A2
använda (verb)	använda	verb	att	<ul><li>employ, use, carry, utilize, wear</li></ul>	använda sig av en ny metod	adopt a new method	Kapitel_1 Rivstart_A1_A2
genom (preposition)	genom	preposition		<ul><li>through, via, into at one side (of something) and out on the other; from one side to the other</li><li>through, with the help of, by means of; as a result of</li></ul>	gå in genom en dörr	go in through a door	Kaptiel_10 Rivstart_A1_A2
helt (adverb)	helt	adverb		<ul><li>wholly, completely, entirely</li></ul>	en helt ny bil	a brand new car	Kapitel_2 Rivstart_A1_A2
utan (preposition)	utan	preposition		<ul><li>without</li></ul>	vara utan mat	be without food	Kapitel_2 Rivstart_A1_A2
utan (conjunction)	utan	conjunction		<ul><li>but (states the opposite)</li></ul>	Hon ville inte äta pizza, utan hamburgare.		Kapitel_2 Rivstart_A1_A2
väl (adverb)	väl	adverb		<ul><li>well (also commonly &quot;very&quot;)</li><li>too</li><li>surely</li></ul>	vara väl medveten om	be well aware of	Kapitel_2 Rivstart_A1_A2
barn (noun)	barn	noun	ett	<ul><li>child, kid, kid (english english), young person, esp. between infancy and youth; sby&#39;s son or daughter</li></ul>	bli med barn	become pregnant	Kapitel_1 Rivstart_A1_A2
ni (prounoun)	ni	prounoun		<ul><li>you (when addressing several people)</li><li>you (when addressing an (unknown) person; formal)</li></ul>	är ni färdiga nu?	are you (all) ready now?	Kapitel_1 Rivstart_A1_A2
viktig (adjective)	viktig	adjective		<ul><li>important, significant</li><li>stuck-up</li></ul>			Kapitel_6 Rivstart_A1_A2
liv (noun)	liv	noun	ett	<ul><li>life</li><li>row, commotion</li><li>waist</li><li>bodice, waist-hold, waist-lock</li></ul>	ett långt liv	a long life	Kapitel_3 Rivstart_A1_A2
deras (prounoun)	deras	prounoun		<ul><li>theirs, their</li><li>it, he, she</li><li>that</li></ul>			Kapitel_6 Rivstart_A1_A2
värld (noun)	värld	noun	en	<ul><li>world (particularly of &quot;the (planet) earth&quot;)</li><li>world</li></ul>	över hela världen	all over the world	Kaptiel_13 Rivstart_A1_A2
folk (noun)	folk	noun	ett	<ul><li>folk, people</li><li>folk</li><li>people</li></ul>	han ville få folk att skratta	he wanted to make people laugh	Kapitel_2 Rivstart_A1_A2
honom (prounoun)	honom	prounoun		<ul><li>he (indicates a male individual)</li></ul>			Kapitel_6 Rivstart_A1_A2
söka (verb)	söka	verb	att	<ul><li>look for, seek</li><li>seek</li><li>attempt, try</li></ul>	söka efter orsaker	look for reasons (causes)	Kapitel_1 Rivstart_A1_A2
dig (prounoun)	dig	prounoun		<ul><li>you (refers to the person being addressed)</li></ul>			Kapitel_6 Rivstart_A1_A2
sak (noun)	sak	noun	en	<ul><li>thing, article, object</li><li>question, thing, affair, matter</li><li>case, cause, especially as a legal term</li></ul>	var sak på sin plats	everything in its place	Kapitel_2 Rivstart_A1_A2
person (noun)	person	noun	en	<ul><li>person (often when stating number)</li></ul>	salen rymmer 10 personer		Kapitel_1 Rivstart_A1_A2
ligga (verb)	ligga	verb	att	<ul><li>lie (down-toned, &quot;be situated&quot;)</li></ul>	ligga i sängen	lie in bed	Kapitel_1 Rivstart_A1_A2
son (noun)	son	noun	en	<ul><li>son</li></ul>	han är son till vicevärden	he is a son of the caretaker	Kapitel_1 Rivstart_A1_A2
just (adverb)	just	adverb		<ul><li>exactly</li></ul>	just det!	exactly!	Kapitel_6 Rivstart_A1_A2
lägga (verb)	lägga	verb	att	<ul><li>put</li><li>place</li><li>set, lay</li></ul>	lägg boken på bordet!	put the book on the table!	Kapitel_3 Rivstart_A1_A2
kvinna (noun)	kvinna	noun	en	<ul><li>woman</li></ul>			Kapitel_1 Rivstart_A1_A2
problem (noun)	problem	noun	ett	<ul><li>problem</li></ul>	ha problem med att hinna i tid		Kaptiel_13 Rivstart_A1_A2
aldrig (adverb)	aldrig	adverb		<ul><li>never</li></ul>	jag går aldrig på bio	I never go to the cinema (the movies)	Kapitel_5 Rivstart_A1_A2
ofta (adverb)	ofta	adverb		<ul><li>often</li></ul>	komik bygger ofta på upprepning	comedy is often based on repetition	Kapitel_2 Rivstart_A1_A2
varje (prounoun)	varje	prounoun		<ul><li>every</li></ul>	varje dag	every day	Kapitel_6 Rivstart_A1_A2
artikel (noun)	artikel	noun	en	<ul><li>article, an essay; an independent piece of prose written as a report for publication (in a newspaper or magazine)</li><li>commodity, article, item, goods or type of goods</li><li>article, a word (or suffix) indicating whether a noun is to be understood in its definite or indefinite form</li></ul>	skriva en artikel i tidningen	write an article for a newspaper	Kapitel_2 Rivstart_A1_A2
öva (verb)	öva	verb	att	<ul><li>practice, train</li></ul>	öva på pianot	practise the piano	Kapitel_3 Rivstart_A1_A2
tal (noun)	tal	noun	ett	<ul><li>speech</li><li>number</li><li>sum</li></ul>	man måste behärska språket i tal och skrift	you must master the spoken and written language	Kapitel_3 Rivstart_A1_A2
bok (noun)	bok	noun	en	<ul><li>beech, the deciduous tree Fagus silvatica</li><li>book</li></ul>			Kapitel_1 Rivstart_A1_A2
varför (adverb)	varför	adverb		<ul><li>why</li></ul>	jag undrar varför hon skrattade	I wonder why she laughed	Kapitel_2 Rivstart_A1_A2
handla (verb)	handla	verb	att	<ul><li>act, take action, do</li><li>buy, shop</li><li>deal with, be about, have as a subject; treat</li></ul>	det gäller att handla snabbt	some sort of action must be taken at once	Kaptiel_7 Rivstart_A1_A2
gammal (adjective)	gammal	adjective		<ul><li>old, having a certain age; aged; having existed for a long time</li></ul>			Kapitel_3 Rivstart_A1_A2
bild (noun)	bild	noun	en	<ul><li>image, picture, representation (of sth.) by a drawing, photograph, etc.</li></ul>	ge en bild av sin situation	describe one&#39;s situation	Kapitel_2 Rivstart_A1_A2
sida (noun)	sida	noun	en	<ul><li>aspect, point of view, side, part</li><li>page</li></ul>	en annan sida av saken	another aspect of the matter	Kapitel_1 Rivstart_A1_A2
därför (adverb)	därför	adverb		<ul><li>so, for that reason</li></ul>	Jag missade tåget därför att jag försov mig		Kaptiel_10 Rivstart_A1_A2
god (adjective)	god	adjective		<ul><li>good (in informal swedish, &quot;go&quot;)</li><li>good (also &quot;attractive, pretty&quot;), morally superior</li><li>nice, pleasant, tasty</li></ul>			Kapitel_2 Rivstart_A1_A2
